source_file,title,chapter,chapter_no,section,section_no,total,correct,wrong,rate,zt_total,zt_correct,zb_total,zb_correct,has_data,section_order
王道操作系统,王道操作系统 课后习题正确率记录,第4章 文件管理,4,4.2 目录与文件,4.2,70,42,28,0.6,22,13,48,29,True,2
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.6 虚拟机,1.6,22,14,8,0.6363636363636364,4,3,18,11,True,6
王道操作系统,王道操作系统 课后习题正确率记录,第5章 输入/输出管理,5,5.1 I/O管理概述,5.1,26,17,9,0.6538461538461539,4,4,22,13,True,1
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.2 操作系统发展历程,1.2,20,14,6,0.7,4,3,16,11,True,2
王道操作系统,王道操作系统 课后习题正确率记录,第3章 内存管理,3,3.1 内存管理概念,3.1,72,51,21,0.7083333333333334,14,10,58,41,True,1
王道操作系统,王道操作系统 课后习题正确率记录,第5章 输入/输出管理,5,5.2 设备独立性软件,5.2,46,33,13,0.717391304347826,11,7,35,26,True,2
王道操作系统,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.1 进程与线程简介,2.1,73,53,20,0.726027397260274,16,9,57,44,True,1
王道操作系统,王道操作系统 课后习题正确率记录,第3章 内存管理,3,3.2 虚拟内存管理,3.2,61,46,15,0.7540983606557377,19,14,42,32,True,2
王道操作系统,王道操作系统 课后习题正确率记录,第1章 计算机系统概述,1,1.3 操作系统的运行环境,1.3,33,25,8,0.7575757575757576,18,13,15,12,True,3
王道操作系统,王道操作系统 课后习题正确率记录,第2章 进程与线程,2,2.2 CPU调度,2.2,57,46,11,0.8070175438596491,21,16,36,30,True,2
